and,10111,101
or,10,1011
or,11,10001
and,1001,111
and,10111,101
or,10,1011
or,11,10001
and,1001,111
and,10111,101
or,10,1011
or,11,10001
and,1001,111
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011
or,1111111111,1111111111
and,1111111111,0000000000
and,0101010101,1010101010
or,0000000000,1111000011

